"Library","Sample","ID_order","site","from","to","Feature.ID","Confidence","Reads","k","p","c","o","f","g","s"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","f99765faefc605e998e4c45df7e36716","0.38318037908547",76,"Fungi_4751","Ascomycota_4890","Sordariomycetes_147550",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","797194835044877011873c9ac3719657","0.987077244402822",62,"Fungi_4751","Ascomycota_4890","Leotiomycetes_147548",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","d1f498b407238a672962bbedb106f9f0","0.996186623095339",58,"Metazoa_33208","Arthropoda_6656","Insecta_50557","Hemiptera_7524","Pentatomidae_160513","Rhacognathus_1545358","Rhacognathus_americanus_-21479"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","d6798a2d268a88e8f103daec9988cf38","0.951968765513318",42,"Fungi_4751","Ascomycota_4890","Leotiomycetes_147548",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","3b8ad135a622199c069ac61ab049a60c","0.978226118675444",40,"Fungi_4751","Basidiomycota_5204","Agaricomycetes_155619","Agaricales_5338","Psathyrellaceae_184208","Coprinellus_184430","Coprinellus_micaceus_71717"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","eca3418b72bcb35db3a67152fe959a50","0.999999999999758",37,"Metazoa_33208","Arthropoda_6656","Arachnida_6854","Trombidiformes_83136","Eriophyidae_70320","Aculus_644140","Aculus_populi_2920999"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","17a9274872b57883d36eef4da2707a37","0.843914679799851",34,"Fungi_4751","Basidiomycota_5204","Tremellomycetes_155616","Tremellales_5234","Bulleribasidiaceae_1884640","Dioszegia_165440","Dioszegia_changbaiensis_234950"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","a94d5933f8cbed393e5699f4e53e8c13","0.789996524728913",31,"Fungi_4751","Ascomycota_4890","Sordariomycetes_147550",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","9acd9ce01ff07b90df7989ae1fc0e4d7","0.953183371700945",31,"Fungi_4751","Ascomycota_4890","Leotiomycetes_147548",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","b3d68cc2e4b3a92df99adc5c22557eba","0.887433763341936",29,"Fungi_4751","Ascomycota_4890","Sordariomycetes_147550",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","0180c418a1d46063a877eb5a4578d32f","0.993738129005134",28,"Fungi_4751","Basidiomycota_5204","Agaricomycetes_155619","Agaricales_5338","Schizophyllaceae_5332","Schizophyllum_5333","Schizophyllum_commune_5334"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","5292801ba3721f8ae2986eb3b4687465","0.8508954380756",28,"Fungi_4751","Ascomycota_4890","Sordariomycetes_147550","Hypocreales_5125",NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","29408071def264fbc54827cfe208f960","0.999999960218774",27,"Metazoa_33208","Arthropoda_6656","Insecta_50557","Trichoptera_30263","Leptoceridae_50642","Ceraclea_177832","Ceraclea_cancellata_763285"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","9bd941ab0f0d7d86694b551823c524f9","0.63931755456396",26,"Fungi_4751","Ascomycota_4890",NA,NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","832d87a78dcebe71ee3d85cb59117622","0.862226047401018",26,"Metazoa_33208","Arthropoda_6656","Arachnida_6854","Trombidiformes_83136","Eriophyidae_70320",NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","53017b3a7d208f2c49b778d75193b0a3","0.225666225887722",25,"Metazoa_33208","Arthropoda_6656","Arachnida_6854",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","b889dbe325d7aba174cd598a181589bc","0.796362267960688",24,"Fungi_4751","Ascomycota_4890","Leotiomycetes_147548","Helotiales_5178","Helotiales_5178_family","Tetracladium_164535","Tetracladium_apiense_164536"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","66b375e1f08dc65c6f7edc53c3c7637b","0.919617265336879",23,"Metazoa_33208","Arthropoda_6656","Insecta_50557","Hemiptera_7524","Miridae_30083","Galapagocoris_-21292","Galapagocoris_crockeri_-21293"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","501fafaee6092a370c3ac12cef546d67","0.221879741735925",23,"Metazoa_33208","Arthropoda_6656","Insecta_50557","Hemiptera_7524",NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","1cfd0af99ba04b1b979fcde9f082e3af","0.497401624855028",20,"Fungi_4751","Basidiomycota_5204","Cystobasidiomycetes_432005","Cystobasidiales_204043","Cystobasidiaceae_34418",NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","7cb43c0fdeda53d296a908d1fd7a717c","0.400489392748681",20,"Metazoa_33208","Arthropoda_6656",NA,NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","1c91794385eea713b798ab7f9e0a2ca9","0.508185562996583",20,"Fungi_4751","Ascomycota_4890","Sordariomycetes_147550",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","efa0bdeb59db652310472715946be143","0.680678490302052",20,"Metazoa_33208","Arthropoda_6656","Arachnida_6854",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","1f582b2046537f337034c43a489b37c4","0.424335022963785",20,"Fungi_4751","Ascomycota_4890","Sordariomycetes_147550",NA,NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","95cec0fff57ce36df246b7e003455893","0.978767001211439",20,"Eukaryota_2759_kingdom","Oomycota_4762","Oomycota_4762_class","Peronosporales_4776","Peronosporaceae_4777","Plasmopara_4780","Plasmopara_viticola_143451"
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","a8b38af22e55a0dc41a9c6c52b31f438","0.346058692740632",20,"Metazoa_33208","Arthropoda_6656","Insecta_50557","Hemiptera_7524",NA,NA,NA
"pt2","PUF.IPEX.5","PUF_IPEX_05","IPEX","10/07/2024","24/07/2024","bbf8dae3cd2ef8fc7065e5f147dcbb5d","0.374127830806628",20,"Metazoa_33208","Arthropoda_6656","Arachnida_6854",NA,NA,NA,NA
